time(ms),power(W)
1746155280000,3057116
1746155400000,3962535
1746155520000,3919836
1746155640000,3777204
1746155760000,4058319
1746155880000,4174508
1746156000000,4128164
1746156120000,3097144
1746156240000,4084212
1746156360000,4144431
1746156480000,4333873
1746156600000,4149800
1746156720000,3384194
1746156840000,4363373
1746156960000,4116993
1746157080000,4153511
1746157200000,4250414
1746157320000,4048663
1746157440000,4117479
1746157560000,4114470
1746157680000,2694359
1746157800000,4100245
1746157920000,4053432
1746158040000,4121925
1746158160000,3945226
1746158280000,2542270
1746158400000,3862280
1746158520000,3014248
1746158640000,4040613
1746158760000,3158152
1746158880000,4039257
1746159000000,4150386
1746159120000,4149369
1746159240000,4179085
1746159360000,4148713
1746159480000,4171611
1746159600000,4128418
1746159720000,4101599
1746159840000,4155926
1746159960000,4120936
1746160080000,3162038
1746160200000,4132947
1746160320000,3396286
1746160440000,4138177
1746160560000,4236406
1746160680000,4138333
1746160800000,3166348
1746160920000,4031772
1746161040000,4013781
1746161160000,2583251
1746161280000,3249477
1746161400000,4222450
1746161520000,3382423
1746161640000,4182403
1746161760000,4202548
1746161880000,4254268
1746162000000,4392450
1746162120000,4161188
1746162240000,4231939
1746162360000,4238942
1746162480000,4210967
1746162600000,4159408
1746162720000,4248825
1746162840000,2196841
1746162960000,4161236
1746163080000,4198225
1746163200000,2764262
1746163320000,4203211
1746163440000,4288153
1746163560000,2342268
1746163680000,3121960
1746163800000,3996008
1746163920000,3983957
1746164040000,3934829
1746164160000,3905953
1746164280000,3961970
1746164400000,4145447
1746164520000,1755683
1746164640000,4367350
1746164760000,4058902
1746164880000,4115033
1746165000000,2740439
1746165120000,4137550
1746165240000,3097557
1746165360000,4069287
1746165480000,4096137
1746165600000,1406449
1746165720000,4148091
1746165840000,4360455
1746165960000,3105403
1746166080000,3323783
1746166200000,4194811
1746166320000,4109908
1746166440000,4156908
1746166560000,4201458
1746166680000,4022099
1746166800000,4238148
1746166920000,3964950
1746167040000,3955142
1746167160000,4105764
1746167280000,4083860
1746167400000,4217990
1746167520000,4101170
1746167640000,4192046
1746167760000,4112211
1746167880000,3097155
1746168000000,4313726
1746168120000,4116337
1746168240000,3121219
1746168360000,3374047
1746168480000,4019817
1746168600000,4295056
1746168720000,3419944
1746168840000,3344348
1746168960000,4105682
1746169080000,4105993
1746169200000,4120889
1746169320000,4182584
1746169440000,3983175
1746169560000,3911792
1746169680000,3848742
1746169800000,2872730
1746169920000,3757620
1746170040000,3875500
1746170160000,3804327
1746170280000,3884719
1746170400000,4019657
1746170520000,2969505
1746170640000,3152186
1746170760000,3988130
1746170880000,3981877
1746171000000,2701285
1746171120000,3924178
1746171240000,3962713
1746171360000,3980845
1746171480000,4069549
1746171600000,4089681
1746171720000,4120917
1746171840000,4031024
1746171960000,2891924
1746172080000,3291287
1746172200000,4124088
1746172320000,4023982
1746172440000,4239490
1746172560000,3099105
1746172680000,3956608
1746172800000,2504772
1746172920000,4019200
1746173040000,3856095
1746173160000,3888551
1746173280000,3864208
1746173400000,4076826
1746173520000,4147199
1746173640000,2750172
1746173760000,4211632
1746173880000,4157700
1746174000000,3984908
1746174120000,4099573
1746174240000,3071465
1746174360000,2731006
1746174480000,4048718
1746174600000,4121571
1746174720000,4138278
1746174840000,4242388
1746174960000,3333722
1746175080000,3104292
1746175200000,4117878
1746175320000,3176241
1746175440000,3166799
1746175560000,3179192
1746175680000,4081792
1746175800000,2996797
1746175920000,3888786
1746176040000,3959097
1746176160000,4020130
1746176280000,4049191
1746176400000,3996847
1746176520000,3978795
1746176640000,3964005
1746176760000,3946408
1746176880000,4122001
1746177000000,4170690
1746177120000,3959983
1746177240000,4108114
1746177360000,4035571
1746177480000,1990128
1746177600000,4049888
1746177720000,4052776
1746177840000,3083287
1746177960000,2956631
1746178080000,3862336
1746178200000,3084717
1746178320000,3867210
1746178440000,3738681
1746178560000,3587566
1746178680000,3651957
1746178800000,3514939
1746178920000,3756589
1746179040000,3730201
1746179160000,3667178
1746179280000,3696929
1746179400000,2864528
1746179520000,3688025
1746179640000,3597861
1746179760000,3652317
1746179880000,2842313
1746180000000,3566083
1746180120000,3649174
1746180240000,3574297
1746180360000,3793754
1746180480000,3911454
1746180600000,3901343
1746180720000,3901160
1746180840000,2658992
1746180960000,3876889
1746181080000,4016066
1746181200000,3941478
1746181320000,3905537
1746181440000,3717730
1746181560000,3686214
1746181680000,3704550
1746181800000,3697501
1746181920000,3087757
1746182040000,2961864
1746182160000,3870118
1746182280000,3144122
1746182400000,4034806
1746182520000,3820879
1746182640000,3885876
1746182760000,3903272
1746182880000,3096035
1746183000000,2942555
1746183120000,3913307
1746183240000,2662014
1746183360000,3889145
1746183480000,3808338
1746183600000,3853636
1746183720000,3755159
1746183840000,3717394
1746183960000,3723272
1746184080000,3756156
1746184200000,3734298
1746184320000,3669512
1746184440000,3691442
1746184560000,2912679
1746184680000,3824121
1746184800000,3811974
1746184920000,3713880
1746185040000,2663784
1746185160000,3739130
1746185280000,3724165
1746185400000,2720243
1746185520000,3699669
1746185640000,3718654
1746185760000,3736773
1746185880000,1884118
1746186000000,3720468
1746186120000,2884804
1746186240000,2799510
1746186360000,3722616
1746186480000,3781823
1746186600000,2894512
1746186720000,3690136
1746186840000,3631424
1746186960000,3713682
1746187080000,2900845
1746187200000,2830798
1746187320000,3531203
1746187440000,3518601
1746187560000,3667641
1746187680000,3733588
1746187800000,3676558
1746187920000,3765334
1746188040000,3641071
1746188160000,2850623
1746188280000,3635406
1746188400000,3752011
1746188520000,3700637
1746188640000,3761192
1746188760000,3706939
1746188880000,3630959
1746189000000,3717380
1746189120000,3698203
1746189240000,1618944
1746189360000,3740834
1746189480000,3741224
1746189600000,3719390
1746189720000,3646371
1746189840000,3662999
1746189960000,2657197
1746190080000,3490011
1746190200000,3573016
1746190320000,2871447
1746190440000,3711966
1746190560000,1886839
1746190680000,3694451
1746190800000,3571889
1746190920000,3645222
1746191040000,3644628
1746191160000,3610356
1746191280000,3638948
1746191400000,3653817
1746191520000,3605444
1746191640000,2845142
1746191760000,3757556
1746191880000,3729220
1746192000000,2921920
1746192120000,3690997
1746192240000,3691548
1746192360000,2637271
1746192480000,3599239
1746192600000,3473233
1746192720000,2702647
1746192840000,3508140
1746192960000,3751100
1746193080000,3736526
1746193200000,3719624
1746193320000,3635402
1746193440000,2604878
1746193560000,3727867
1746193680000,2738836
1746193800000,3674811
1746193920000,3769669
1746194040000,3737486
1746194160000,3687027
1746194280000,3741018
1746194400000,3687390
1746194520000,3753365
1746194640000,3613339
1746194760000,3698587
1746194880000,3715935
1746195000000,1769616
1746195120000,3709727
1746195240000,2894402
1746195360000,3564814
1746195480000,3459517
1746195600000,3513565
1746195720000,3813374
1746195840000,3639165
1746195960000,3664688
1746196080000,2915512
1746196200000,3713564
1746196320000,3708998
1746196440000,3646141
1746196560000,2953026
1746196680000,2745882
1746196800000,3688729
1746196920000,3686703
1746197040000,2897069
1746197160000,3724070
1746197280000,3862917
1746197400000,3711535
1746197520000,3668077
1746197640000,3613015
1746197760000,2840682
1746197880000,2735127
1746198000000,3734749
1746198120000,3657189
1746198240000,3653277
1746198360000,3535799
1746198480000,3766772
1746198600000,2940841
1746198720000,3783006
1746198840000,3016754
1746198960000,3823869
1746199080000,3819160
1746199200000,3814253
1746199320000,2788399
1746199440000,3015541
1746199560000,3781964
1746199680000,3718550
1746199800000,3743011
1746199920000,3703502
1746200040000,3753172
1746200160000,3773155
1746200280000,2710264
1746200400000,3833252
1746200520000,3857800
1746200640000,3757584
1746200760000,3738155
1746200880000,2847120
1746201000000,3590726
1746201120000,3625189
1746201240000,3645216
1746201360000,3556302
1746201480000,3567460
1746201600000,3613297
1746201720000,3768127
1746201840000,3809575
